"schemaname","tablename","tableowner","tablespace","hasindexes","hasrules","hastriggers","rowsecurity"
"public","account_account","openpg",NULL,True,False,True,False
"public","account_account_account_balance_report_rel","openpg",NULL,True,False,True,False
"public","account_account_account_common_account_report_rel","openpg",NULL,True,False,True,False
"public","account_account_account_journal_rel","openpg",NULL,True,False,True,False
"public","account_account_account_report_general_ledger_rel","openpg",NULL,True,False,True,False
"public","account_account_account_tag","openpg",NULL,True,False,True,False
"public","account_account_bankbook_report","openpg",NULL,True,False,True,False
"public","account_account_cashbook_report","openpg",NULL,True,False,True,False
"public","account_account_daybook_report","openpg",NULL,True,False,True,False
"public","account_account_financial_report","openpg",NULL,True,False,True,False
"public","account_account_financial_report_type","openpg",NULL,True,False,True,False
"public","account_account_tag","openpg",NULL,True,False,True,False
"public","account_account_tag_account_move_line_rel","openpg",NULL,True,False,True,False
"public","account_account_tag_account_tax_repartition_line_rel","openpg",NULL,True,False,True,False
"public","account_account_tag_product_template_rel","openpg",NULL,True,False,True,False
"public","account_account_tax_default_rel","openpg",NULL,True,False,True,False
"public","account_account_template","openpg",NULL,True,False,True,False
"public","account_account_template_account_tag","openpg",NULL,True,False,True,False
"public","account_account_template_tax_rel","openpg",NULL,True,False,True,False
"public","account_account_type","openpg",NULL,True,False,True,False
"public","account_accrued_orders_wizard","openpg",NULL,True,False,True,False
"public","account_aged_trial_balance","openpg",NULL,True,False,True,False
"public","account_aged_trial_balance_account_journal_rel","openpg",NULL,True,False,True,False
"public","account_aged_trial_balance_res_partner_rel","openpg",NULL,True,False,True,False
"public","account_analytic_account","openpg",NULL,True,False,True,False
"public","account_analytic_account_account_common_account_report_rel","openpg",NULL,True,False,True,False
"public","account_analytic_account_account_report_general_ledger_rel","openpg",NULL,True,False,True,False
"public","account_analytic_applicability","openpg",NULL,True,False,True,False
"public","account_analytic_distribution_model","openpg",NULL,True,False,True,False
"public","account_analytic_line","openpg",NULL,True,False,True,False
"public","account_analytic_plan","openpg",NULL,True,False,True,False
"public","account_asset_asset","openpg",NULL,True,False,True,False
"public","account_asset_category","openpg",NULL,True,False,True,False
"public","account_asset_depreciation_line","openpg",NULL,True,False,True,False
"public","account_automatic_entry_wizard","openpg",NULL,True,False,True,False
"public","account_automatic_entry_wizard_account_move_line_rel","openpg",NULL,True,False,True,False
"public","account_balance_report","openpg",NULL,True,False,True,False
"public","account_balance_report_journal_rel","openpg",NULL,True,False,True,False
"public","account_balance_report_res_partner_rel","openpg",NULL,True,False,True,False
"public","account_bank_statement","openpg",NULL,True,False,True,False
"public","account_bank_statement_import","openpg",NULL,True,False,True,False
"public","account_bank_statement_import_ir_attachment_rel","openpg",NULL,True,False,True,False
"public","account_bank_statement_import_journal_creation","openpg",NULL,True,False,True,False
"public","account_bank_statement_ir_attachment_rel","openpg",NULL,True,False,True,False
"public","account_bank_statement_line","openpg",NULL,True,False,True,False
"public","account_bankbook_report","openpg",NULL,True,False,True,False
"public","account_bankbook_report_account_journal_rel","openpg",NULL,True,False,True,False
"public","account_budget_post","openpg",NULL,True,False,True,False
"public","account_budget_rel","openpg",NULL,True,False,True,False
"public","account_cash_rounding","openpg",NULL,True,False,True,False
"public","account_cashbook_report","openpg",NULL,True,False,True,False
"public","account_cashbook_report_account_journal_rel","openpg",NULL,True,False,True,False
"public","account_chart_template","openpg",NULL,True,False,True,False
"public","account_common_account_report","openpg",NULL,True,False,True,False
"public","account_common_account_report_account_journal_rel","openpg",NULL,True,False,True,False
"public","account_common_account_report_res_partner_rel","openpg",NULL,True,False,True,False
"public","account_common_journal_report","openpg",NULL,True,False,True,False
"public","account_common_journal_report_account_journal_rel","openpg",NULL,True,False,True,False
"public","account_common_partner_report","openpg",NULL,True,False,True,False
"public","account_common_partner_report_account_journal_rel","openpg",NULL,True,False,True,False
"public","account_common_partner_report_res_partner_rel","openpg",NULL,True,False,True,False
